,Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
0,Afghanistan,World,Consumer goods,Export,Export(US$ Mil),0,0,98.74,56.51,74.73,70.14,132.33,154.83,134.35,126.91,56.02,86.77,75.09,155.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Afghanistan,World,Minerals,Export,Export(US$ Mil),0,0,19.0,10.59,6.97,6.71,6.09,0,0,0,1.15,1.07,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Afghanistan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,170.78,0,0,422.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Afghanistan,World,Raw materials,Export,Export(US$ Mil),0,0,718.9,498.92,573.9,408.97,343.56,12.13,9.3,21.66,189.72,181.62,244.52,307.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Afghanistan,World,Capital goods,Export,Export(US$ Mil),0,0,1.63,1.63,0.09,0,0,0,0,0,0,0,0,29.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Afghanistan,World,Plastic or Rubber,Export,Export(US$ Mil),0,0,0.23,0.16,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Afghanistan,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,258.85,0,600.5,0,494.37,336.77,367.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Afghanistan,World,Vegetable,Export,Export(US$ Mil),0,0,691.92,687.27,700.21,433.04,359.01,82.7,70.23,74.79,194.91,195.9,250.81,321.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Afghanistan,World,Footwear,Export,Export(US$ Mil),0,0,0.38,0.14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Afghanistan,World,Miscellaneous,Export,Export(US$ Mil),0,0,0.96,0.91,0.8,113.54,93.52,403.57,371.32,280.34,126.11,113.76,78.99,29.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Afghanistan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,31.0,28.41,0,0,0,0,20.28,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Afghanistan,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,410.14,359.47,356.14,230.04,188.87,159.98,102.96,69.71,70.44,65.36,76.01,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Afghanistan,Turkmenistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,690.21,0,0,0,632.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Afghanistan,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Afghanistan,World,Intermediate goods,Export,Export(US$ Mil),0,0,36.24,23.63,14.08,3.8,2.0,0,0,0,4.0,6.33,4.85,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Afghanistan,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,14.56,11.18,0,0,0,0,15.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Afghanistan,World,Textiles and Clothing,Export,Export(US$ Mil),0,0,59.6,57.91,49.74,38.98,90.18,83.99,73.23,72.76,49.12,70.02,67.86,155.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Afghanistan,World,Food Products,Export,Export(US$ Mil),0,0,5.0,6.6,6.27,0.09,0.24,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Afghanistan,World,Consumer goods,Import,Import(US$ Mil),0,0,2475.14,1376.73,1688.26,1013.54,1055.18,355.79,304.69,188.19,737.26,1494.52,314.84,878.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Afghanistan,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,790.75,866.77,621.62,426.84,0,0,0,0,0,290.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Afghanistan,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,155.77,141.01,123.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Afghanistan,World,Transportation,Export,Export(US$ Mil),0,0,0.91,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Afghanistan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,1192.43,1165.93,1179.3,1092.71,1044.0,1038.2,136.25,713.66,577.18,703.85,360.06,430.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Afghanistan,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,24.94,0,0,0,24.44,0,0,0,0,0,0,18.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Afghanistan,World,Raw materials,Import,Import(US$ Mil),0,0,1118.17,989.68,971.64,692.96,1362.03,1488.62,1452.55,1517.53,2085.29,12.76,745.84,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Afghanistan,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,298.64,379.11,357.2,283.32,226.57,188.42,198.35,201.39,180.65,151.34,191.13,264.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Afghanistan,Uzbekistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,553.95,560.53,399.14,0,0,0,0,732.45,1087.93,875.87,500.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Afghanistan,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,3408.13,6573.14,3102.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Afghanistan,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,804.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Afghanistan,World,Hides and Skins,Export,Export(US$ Mil),0,0,8.08,15.11,15.38,0.04,0.35,0,0,0,0.03,0.03,0.18,23.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Afghanistan,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,18.51,0,0,0,33.03,29.59,25.66,36.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Afghanistan,World,Wood,Export,Export(US$ Mil),0,0,0.07,0.49,0.23,0.11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Afghanistan,World,Mach and Elec,Export,Export(US$ Mil),0,0,0.55,1.39,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Afghanistan,World,Metals,Export,Export(US$ Mil),0,0,7.28,4.45,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Afghanistan,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,1247.17,1264.17,1212.56,1265.14,1807.98,1497.08,715.15,498.59,581.66,0,0,200.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Afghanistan,World,Stone and Glass,Export,Export(US$ Mil),0,0,0.07,0.16,0.12,0,0.06,0,0,0,3.92,6.2,4.75,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Afghanistan,World,Intermediate goods,Import,Import(US$ Mil),0,0,2500.61,2426.57,2398.3,1757.81,1491.24,1023.63,939.66,485.05,919.95,867.36,650.59,501.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Afghanistan,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Afghanistan,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,25.15,22.02,22.01,12.15,0,0,0,0,0,34.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Afghanistan,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,20.27,18.11,18.82,29.16,33.35,42.73,26.61,19.53,31.73,41.28,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Afghanistan,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,783.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Afghanistan,World,Capital goods,Import,Import(US$ Mil),0,0,828.38,943.58,936.55,727.41,509.18,0,0,0,270.38,404.38,250.44,612.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Afghanistan,World,Fuels,Export,Export(US$ Mil),0,0,69.57,89.39,43.55,0,19.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Afghanistan,World,Chemicals,Export,Export(US$ Mil),0,0,2.11,2.81,1.07,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Afghanistan,Pakistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,1102.99,1086.85,1293.22,1198.76,1346.41,1327.93,889.15,883.02,877.75,597.5,307.47,489.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Afghanistan,World,Animal,Export,Export(US$ Mil),0,0,4.74,4.82,4.99,3.94,2.19,0.27,0.19,1.01,0.62,1.5,0.29,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
