Reporter,Partner,Product categories,Parent,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Australia,World,Consumer goods,Consumer goods,Export,Export(US$ Mil),54476.66,32773.11,51643.58,51089.78,37424.38,29649.49,27765.37,34172.4,34008.01,36045.33,32140.65,27322.43,21810.85,28303.26,24211.78,20756.57,19304.04,16406.44,13922.14,11947.78,11799.88,11844.91,8919.29,7902.23,9081.83,8530.72,7156.48,6276.96,5315.11,4780.48,4484.1,3668.91,2951.46,2713.63
Australia,World,Minerals,Raw Materials,Export,Export(US$ Mil),132419.63,90987.11,80864,61867.89,60588.18,48107.21,46714.28,72330.56,79461.48,70033.11,79621.81,56278.86,30518.03,34575.18,23031.32,18746.01,13669.39,7997.98,5824.55,4811.48,4876.79,4798.61,4803.33,5034.52,5170.27,4777.11,4173.28,3190.95,3438.01,3716.89,4024.65,3755.79,3203.45,2745.37
Australia,Germany,All Products,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11185.26,9711.92,10447.32,11537.63,,10079.66,,10706.49,,11628.4,10952.15,,,10003.69,8514.04,7071.56,6935.91,6275.62,5459.21,4183.64,3617.83,3582.93,3668.18,3564.34,3362.85,3600.77,3770.34,2946.36,2414.13,2323.02,2326.61,2515.16,2472.79,2199.98
Australia,World,Raw materials,Raw Materials,Export,Export(US$ Mil),218955.91,146304.95,155730.14,143233.84,135312.87,107027.96,108038.99,147560.29,157556.77,154241.21,169272.48,126431.55,84637.02,101774.9,63079.15,57407.99,50205.28,37534.78,27492.49,27420.51,26851.91,26235.45,22113.03,22234.03,25902.76,23933.78,20251.45,19214.74,18120.27,19319.54,19276.04,18904,18273.68,16970.5
Australia,World,Capital goods,Capital goods,Export,Export(US$ Mil),12829.05,11139.59,12625.92,11662.55,10846.6,10846.21,11127.44,12475.96,12137.22,13077.56,12732.98,10742.82,9155.02,10754.89,9883.88,8269.68,8088.3,7134.74,6653.74,6375.69,5759.89,6108.77,6262.27,5954.57,7514.69,6924.12,6120.92,4982.15,4167.07,3728.01,3242.07,2784.62,2383.35,1995.01
Australia,World,Plastic or Rubber,Capital goods,Export,Export(US$ Mil),1078.16,832.27,1062.84,1106.74,1129.71,1027.44,1007.81,1099.12,1107.89,1243.92,1211.93,1123.26,969.07,1155.16,1164.64,869.06,859.11,714.22,584.13,500.15,469.75,479.98,523.77,477.72,610.4,634.26,623.12,451.65,385.26,371.44,339.39,285,274.6,282.01
Australia,United Kingdom,All Products,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,3706.98,3312.09,3376.32,4174.79,3467.87,3602.95,3893.59,3890.33,3412.85,2948.08,2383.83,2390.81,2362.16,2658.62,2645.98,2436.46
Australia,Japan,All Products,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15778.72,12546.59,15375.71,17294.61,16523.67,14593.66,14793.1,15478.59,17946.31,19712.94,18577.83,17526.28,13476.04,18049.34,15907.7,13711.75,13765.15,12881.77,11131.5,9062.53,8344.98,9413.28,8653.59,8239.44,8366.56,7858.63,8722.93,8777.47,7977.47,7224.1,6634.26,7151.76,7984.63,6549.63
Australia,World,Vegetable,Consumer goods,Export,Export(US$ Mil),17864.25,9083.79,8713.22,10237.4,13635.4,10818.03,12226.52,12820.62,14607.24,14690.28,13128.15,8307.51,7917.59,7646.04,4505,5698.79,5035.12,6478.56,3743.46,4909.64,4860.97,4842.12,4753.93,4470.52,5789.21,5790.22,2968.66,3404.53,3019.09,2650.45,2593.46,2999.6,3121.58,2322.15
Australia,Thailand,All Products,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11570.04,9988.28,10420.28,11260.15,,10872.75,10197.01,,,,,10513.32,9303.74,,,,,,,,,,,,,,,,,,,,,
Australia,World,Footwear,Consumer goods,Export,Export(US$ Mil),105.18,91.39,99.21,104.91,101.67,80.87,72.7,74.08,70.27,66.17,67.11,54.37,45.54,55.86,52.22,46.65,49.42,47.59,46.26,44.06,45.61,54.13,53.59,52.09,58.63,65,60.38,57.69,54.16,41.76,30.72,22.26,23.18,14.91
Australia,World,Miscellaneous,Miscellaneous,Export,Export(US$ Mil),12754.42,20968.17,8792.86,8573.35,9394.63,10973.86,10664.91,11567.16,12102.38,13252.23,14435.57,13433.81,10320.73,10881.64,12144.35,11162.12,9514.24,8245.74,7527.09,5473.31,5049.87,4912.84,2484.35,3444.35,2405.01,2382.47,1927.39,2117.91,856.69,861.96,709.97,670.43,684.95,554.46
Australia,"Hong Kong, China",All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.45
Australia,China,All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,116817.97,92618.92,88894.39,74742.94,68471.06,59992.75,61012.46,81413.61,87311.42,75836.31,73804.14,53740.4,33389.24,27225.18,19967.51,15356.47,12302.48,8094.99,5922.09,4557.23,3917.96,3474.45,,,,,,,,,,,,
Australia,...,...,Miscellaneous,Import,No. Of Import products,4328,4328,4328,4350,4362,4373,4373,4366,4367,4365,4386,4386,4402,4408,4431,4640,4682,4699,4683,4683,4744,4745,4745,4783,4802,4791,4856,4860,4848,4826,4817,4839,4869,4848
Australia,India,All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13624.04,,,11056.4,10856.14,7919.03,7946.61,7995.34,8453.7,12611.73,15750.32,15109.41,11363.67,11379.98,,,,,,,,,,,,,,,,,,,,
Australia,...,...,Miscellaneous,Export,No. Of Export products,4163,4172,4194,4187,4180,4182,4207,4188,4210,4224,4254,4278,4278,4279,4297,4519,4551,4544,4546,4584,4592,4589,4588,4548,4571,4544,4564,4549,4570,4523,4511,4490,4471,4455
Australia,...,...,Miscellaneous,Export,No. Of Export partners,212,213,211,213,211,211,212,212,211,213,212,215,215,218,216,215,213,217,215,215,217,219,205,203,201,196,202,205,196,188,180,176,178,176
Australia,"Korea, Rep.",All Products,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,15892.26,,10895.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,World,Intermediate goods,Consumer goods,Export,Export(US$ Mil),44408.91,38195.37,42504.74,42449.73,38569.37,34778.32,33764.98,38288.18,39805.03,43096.26,44526.24,37402.1,30806.72,38292.34,34762.65,28276.89,21281.96,19224.62,16362.85,15243.77,15301.77,16130.95,14470.78,15996,17182.78,17685.5,17072.77,14535.51,12803.48,12752.81,12149.89,12186.89,11243.79,9728.47
Australia,World,Textiles and Clothing,Consumer goods,Export,Export(US$ Mil),4383.49,2289.21,3792.99,5221.57,4869.1,3886.57,3442.37,4436.36,5504.92,5857.75,6074.14,3473.05,2291.21,2839.1,3315.65,3035.93,3068.02,3141.73,2778.06,3093.8,3340.25,3334.04,3135.79,3392.2,4570.04,4007.96,3822.93,3620.38,2845.9,3626.12,3652.06,3305.45,4592.42,5054.07
Australia,World,Food Products,Consumer goods,Export,Export(US$ Mil),5168.95,5416.83,5913.69,6216.04,6093.03,5165.22,4491.13,4351.45,4627.72,4729.48,4834.74,4486.05,3871.18,4211.01,4393.23,3815.08,3795.99,3724.63,3086.17,2534.3,2155.87,2118.66,1961.17,1660.14,2973.91,2860.96,2701.37,2446.5,1813.32,1528.04,1398.69,1525.65,1510.02,1337.2
Australia,World,Consumer goods,Consumer goods,Import,Import(US$ Mil),118351.06,93441.78,100001.16,105296.64,97909.01,86609.18,89289.78,96582.65,100773.74,100155.67,93443.15,82464.33,67443.16,79244.35,65594.05,55363.99,50225.41,43724.54,34907.51,27922.75,24291.17,25752.22,22386.25,21258.41,21020.3,19837.74,18335.61,16538.1,13964.57,13529.97,11995.97,11747.24,11878.59,9790.53
Australia,New Zealand,All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,7955.25,6738.63,6866.77,6444.98,5307.66,4321.32,3711.51,3798.14,4094.47,3351.75,4376.56,4219.44,3687.92,3014.16,2330.26,,,1812.75,1787.87,1513.67
Australia,"Korea, Rep.",All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22592.87,14067.2,14099.74,13963.97,13232.65,12770.22,13299.33,17891.71,17710.7,20540.98,24008.84,18829.45,12281.99,15485.8,11306.98,9310.3,8359.63,6740.74,5267.09,5431.9,4925.11,5230.43,3449.7,3295.68,4415.98,5405.77,4037.32,3075.31,2600.68,2441.33,2447.61,2070.77,1726.61,
Australia,Unspecified,All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,62012.33,25637.6,50148.9,48131.18,32760.6,,,,30777.2,,,,,,,,,,,,,,8137.79,9896.27,11641.53,10728.78,7817.19,6444.01,,,,,,
Australia,Singapore,All Products,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,11396.04,12144.19,15010.98,14596.11,10079.07,8792.37,14230.99,9182.73,8433.88,6902.21,4796.86,,,,,,,,,,,,,,,,
Australia,World,Transportation,Consumer goods,Export,Export(US$ Mil),2949.17,2792.79,3589.7,3557.63,3589.32,4052.79,4329.53,4730.03,4742.22,4854.6,4214.91,3665.09,3058.73,5359.82,4384.85,3693.07,4144.45,3586.68,3652.54,3667.59,2855.98,2651.76,2765.13,2250.99,2855.48,2217.97,1754.08,1377.96,1497.47,1331.91,1179.88,1033.61,861.57,671.19
Australia,China,All Products,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,72858.76,60208.02,56448.23,57102.17,49971.61,44241.02,46292.72,46854.59,44861.05,45996.26,43447.91,38004.36,29211.72,31588.26,25898.02,20327.74,17341.18,14073.26,9832.37,7332.9,5625.31,5568.96,4239.36,3626.08,3475.58,3188.83,2825.03,,,,,,,
Australia,World,Raw materials,Raw materials,Import,Import(US$ Mil),10822.35,9187.58,13301.43,15638.06,12882.67,11270.93,11586.98,22838.73,23556.34,26696.59,25947.02,19216.98,13227.68,19531.81,16130.9,13239.03,10771.92,8552.4,6710.34,5481.04,5623.67,5961.39,4322.55,3380.67,4208.08,4132.39,3277.79,2760.82,2541.9,2303.34,2056.55,2034.75,1970.49,1679.43
Australia,Japan,All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,30319.47,22654.47,24446.79,26582.38,24179.67,26344.51,29826.96,43135.79,31251.83,49680.33,52088.08,40088.03,30014.17,42731.58,26801.2,24446.82,21703.96,16314.19,12820.29,12064.75,12255.38,12600.2,9069.32,9111,10281.92,10097.62,10731.91,10921.61,9846.66,10125.28,10929.55,9814.55,9043.91,8174.2
Australia,United Kingdom,All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,10495.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Unspecified,All Products,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,15069.55,,,,11047.65,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,World,Hides and Skins,Capital goods,Export,Export(US$ Mil),614.57,459.08,593.68,766.91,826.14,831.35,1027.2,1213.61,1264.92,1124.16,1185.19,951.71,637.91,911.92,969.64,841.49,804.67,860.33,773.08,716.03,726.45,656.55,522.55,655.41,818.68,797.98,769.64,667.32,497.61,497.21,428.96,562.63,535.34,623.45
Australia,...,...,Miscellaneous,Development,Trade Balance (current US$ Mil),,51274.3,35074.38,5461.59,7879.18,-27507.64,-20609.04,-6274.67,-20428.85,-3845.12,13493.05,-11801.29,1964.36,-26845.12,-14026.85,-13551.21,-19006.16,-16623.99,-9824.11,-31.92,326.29,-8967.53,-9508.71,-3507.43,1194.24,-1817.15,-7226.02,-1661.02,-999.86,885.18,-431.68,-5989.23,-5487.34,-1557.04
Australia,...,...,Miscellaneous,Tariff,No. Of Tariff Agreement,23,21,29,28,28,27,25,25,25,25,22,21,13,13,13,14,9,9,9,9,9,9,9,5,9,9,,,7,,6,,,
Australia,World,Wood,Raw Materials,Export,Export(US$ Mil),2168.4,1976.86,2726.03,2994.05,2833.6,2552.36,2405.65,2564.49,2398.28,2371.89,2697.22,2533.31,1907.53,2425.31,2264.44,1915.51,1822.23,1784.36,1489.25,1289.65,1093.56,1139.88,1051.48,970.45,1128.03,1076.06,984.01,840.57,740.95,666.26,687.25,601.68,578.42,562.72
Australia,World,Mach and Elec,Capital goods,Export,Export(US$ Mil),8173.11,7331.16,8228.07,7948.82,7648.91,7509.92,7765.03,8515.23,8477.55,8978.12,8794.57,7631.06,6392.56,7652.32,7295.86,6179.08,5922.92,5272.44,4567.08,4119.72,4337.28,4598.3,4367.05,4533.9,5574.3,5576.82,5036.63,4201.82,3308.79,2914.72,2632.28,2204.86,1726.7,1487.95
Australia,...,...,Miscellaneous,Development,GDP (current US$ Mil),,1330900.93,1396567.01,1432881.17,1329188.48,1208846.99,1351693.98,1467483.71,1576184.47,1546151.78,1396649.91,1146138.47,927805.18,1053995.52,853099.63,746054.21,693407.76,612490.4,466488.06,394648.91,378376.09,415222.63,388608.22,398899.14,434568.01,400302.73,367216.36,322213.77,311549.33,324884.26,325315.91,310781.07,299272.05,235658.47
Australia,World,Metals,Raw Materials,Export,Export(US$ Mil),12603.05,9586.21,11471.02,12018.79,10253.85,8761.56,9964.43,12908.22,12827.68,13801.49,15876.73,13104.82,9744.55,14295.44,14773.4,11835.9,8327.08,7274.82,5902.98,5821.85,5806.8,6314.27,5297.73,5200.68,5798.25,5849.1,6027,4821.96,4256.09,4457.83,4479.02,4469.88,4372.86,3855.8
Australia,World,All Products,All Products,Tariff,Duty Free Imports (US$ Thousand),185899178,158086058.1,157611577.7,162586108.9,149028380.4,132817022.1,111340406.6,131754061.9,137629012.5,148446672.2,141782130,110666538.6,76311298.7,112286519.7,88762733.65,77517623.07,57040782.85,48900216.69,40082338.55,33059878.24,27719555.65,25763684.35,24128197.02,21848616.28,21438255.02,21835728.48,,,16078872.46,,14837953.68,,,
Australia,World,Stone and Glass,Capital goods,Export,Export(US$ Mil),18805.54,18697.14,17586.13,15595.57,14981.22,15282.33,12294.1,13624.47,15283.05,17612.68,17099.29,14491.56,12904.62,13206.92,10648.64,7950.84,5378.55,4982.54,4548.03,3566.69,3318.7,3601.4,3839.21,5386.04,4349.46,4831.05,4508.42,4088.41,3665.64,3812.47,3390.04,3113.72,2432.65,2417.58
Australia,New Zealand,All Products,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444.7,2024.92,1848.13,1751.6,1693.11,1605.15,1423.72
Australia,World,Intermediate goods,Consumer goods,Import,Import(US$ Mil),42413.02,34116.21,32438.92,34761.26,32000.35,29213.38,30547.17,32927.92,33222.1,36666.34,36742.33,32859.6,28589.97,37420.94,28713.42,23656.89,20824.37,18029.49,15588.01,12891.54,11905.73,13291.8,12673.17,12884.48,11838.65,11936.4,11861.38,10297.75,9109.89,9158.94,8660.65,8373.35,8907.48,7809.78
Australia,United States,All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,12837.73,,,,8761.92,9977.45,9943.29,,9515.73,9844.79,8430.74,7467.44,10184.27,8417.11,7583.16,7069.13,7009.49,6158.4,6308.65,6170.68,6343.59,4536.71,4397.41,3659.86,2980.45,,2778.13,2698.29,2824.41,2940.68,3157.03,2635.11,2655.61
Australia,United States,All Products,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26614.56,24813.32,26089.88,24487.21,23612.15,21703.31,22560.99,24148.86,23820.3,29386.82,26797.97,22561.96,18669.86,24256.28,21252.49,19664.1,17460.41,16111.11,14194.3,13340.68,11729.05,14255.58,13422.41,13290.93,13370.05,14052.52,12256.84,10848.51,8899.19,8947.91,9144.35,9142.6,8837.37,7041.98
Australia,World,All Products,All Products,Import,Imports (in US$ Mil),261586.38,210212.51,221527.8,235632.82,228429.29,189406.03,200113.78,227544.23,232481.27,250464.79,234205.82,201703.33,165601.14,200617.27,165471.53,139354.17,125221.25,109482.72,89065.1,73025.9,64319.98,71555.13,65198.36,60774.22,61833.39,61400.05,57422.8,49918.04,42366.6,40598.17,38456.38,38632.77,39839.62,33025.74
Australia,World,Capital goods,Capital goods,Import,Import(US$ Mil),86153.39,70439.56,72433.8,75359.01,73712.84,60357.87,63236.59,68819.33,70146.84,81090.22,70823.79,61478.07,51543.53,61880.82,54276.52,46615.76,42953.06,38706.84,31403.78,26173.18,22230.57,26267.63,25100.15,22671.46,23910.98,24525.37,22990.61,19539.69,15854.63,14685.13,14734.89,15134.14,15615.78,12430.02
Australia,World,All Products,All Products,Export,Exports (in US$ Mil),342036.1,247159.35,270260.84,256565.26,230536.74,189629.97,187792.15,240444.68,252155.11,256242.91,269423.39,212108.73,153899.58,186853.01,141181.51,123324.47,106011.05,86484.04,70288.24,64984.17,63288.19,63766.33,54534.2,55808.48,62816.52,60206.78,53000.55,47253.81,41879.2,42078.85,40782.72,38781.28,35761.44,32205.39
Australia,...,...,Miscellaneous,Import,No. Of Import partners,214,213,216,215,217,217,214,215,211,211,214,209,212,208,210,211,209,206,207,203,202,204,182,178,174,170,167,167,169,160,152,149,148,150
